An	Durata	Titlu	Categorie	Premii
1990	96	Chattahoochee	Drama	Nu
1962	96	Sanjuro	Mystery	Nu
1984	96	Roadhouse Sixty-Six	Action	Nu
1990	96	My Blue Heaven	Comedy	Nu
1938	96	Boys Town	Drama	Da
1988	96	Salsa: The Motion Picture	Drama	Nu
1990	97	Zandalee	Drama	Nu
1992	97	Hunting	Mystery	Nu
1985	97	After Hours	Comedy	Nu
1987	97	Siesta	Drama	Nu
1978	97	Autumn Sonata	Drama	Da
1989	97	National Lampoon's Christmas Vacation	Comedy	Nu
1990	97	Novice, The	Comedy	Nu
1946	97	My Darling Clementine	Western	Nu
1987	97	Barfly	Drama	Nu
1992	97	Killer Image.	Mystery	Nu
1965	97	Cat Ballou	Comedy	Da
1933	97	Queen Christina	Drama	Nu
1988	97	Crossing Delancey	Comedy	Nu
1983	97	Yellowbeard	Comedy	Nu
1983	97	Breathless	Action	Nu
1991	97	New Jack City	Action	Nu
1981	97	Arthur	Comedy	Da
1976	97	A Matter of Time	Drama	Nu
1987	97	Dreams Lost, Dreams Found	Drama	Nu
1990	97	Cadillac Man	Comedy	Nu
1988	97	Presidio, The	Action	Nu
1989	97	A Dry White Season	Drama	Nu
1986	97	Maximum Overdrive	Horror	Nu
1987	97	Hard Ticket to Hawaii	Action	Nu
1990	97	Fellow Traveller	Drama	Nu
1980	97	Marathon	Comedy	Nu
1970	97	Spider's Stratagem	Drama	Nu
1985	97	One Woman or Two	Comedy	Nu
1987	97	Lost Boys, The	Horror	Nu
1986	97	Boy in Blue, The	Drama	Nu
1991	97	Rhapsody in August	Drama	Nu
1957	97	Sweet Smell of Success	Drama	Nu
1990	97	Prom Night III, The Last Kiss	Horror	Nu
1956	97	Somebody up There Likes Me	Drama	Nu
1969	98	A Walk in the Spring Rain	Drama	Nu
1956	98	Elena & Her Men	Drama	Nu
1991	98	Five Easy Pieces	Drama	Nu
1987	98	Under the Sun of Satan	Drama	Nu
1971	98	Anderson Tapes, The	Mystery	Nu
1988	98	Stealing Home	Drama	Nu
1952	98	Affair in Trinidad	Drama	Nu
1948	98	Loves of Carmen, The	Drama	Nu
1972	98	Last of the Red Hot Lovers	Comedy	Nu
1990	98	Almost an Angel	Comedy	Nu
1986	98	Crocodile Dundee	Comedy	Nu
1988	98	Plain Clothes	Comedy	Nu
1992	98	Secret Admirer	Comedy	Nu
1991	98	Cat Chaser	Drama	Nu
1983	98	Lovesick	Comedy	Nu
1988	98	Caddyshack 2	Comedy	Nu
1986	98	Trick or Treat	Horror	Nu
1983	98	Packin' It In	Comedy	Nu
1986	98	Summer	Comedy	Nu
1991	98	Another You	Comedy	Nu
1990	98	Trapper County War	Action	Nu
1990	98	Welcome Home, Roxy Carmichael	Comedy	Nu
1958	98	Another Time, Another Place	Drama	Nu
1961	98	Paris Blues	Drama	Nu
1987	98	Russkies	Action	Nu
1990	98	Hiroshima	Drama	Nu
1991	98	L. A. Story	Comedy	Nu
1990	98	Another Forty-Eight Hours	Action	Nu
1989	99	American Angels: Baptism of Blood, The	Drama	Nu
1957	99	Mademoiselle Striptease	Comedy	Nu
1964	99	Ravishing Idiot, The	Comedy	Nu
1948	99	Secret Beyond the Door	Mystery	Nu
1984	99	Dreamscape	Science Fiction	Nu
1943	99	Destroyer	Action	Nu
1992	99	Party Girl	Comedy	Nu
1966	99	Appaloosa, The	Western	Nu
1983	99	Risky Business	Comedy	Nu
1991	99	Delicatessen	Comedy	Nu
1956	99	Slightly Scarlet	Action	Nu
1988	99	Tokyo Pop	Comedy	Nu
1992	99	Memoirs of an Invisible Man	Comedy	Nu
1976	99	Inserts	Drama	Nu
1991	99	Paris Trout	Drama	Nu
1980	99	Caddyshack	Comedy	Nu
1963	99	Bedtime Story	Comedy	Nu
1967	99	Woman Times Seven	Comedy	Nu
1952	99	Come Back, Little Sheba	Drama	Da
1970	99	Monte Walsh	Western	Nu
1972	99	Cancel My Reservation	Comedy	Nu
1987	99	River's Edge	Drama	Nu
1989	99	Picasso Trigger	Action	Nu
1989	99	She-Devil	Comedy	Nu
1989	99	Driving Miss Daisy	Drama	Da
1973	99	Ash Wednesday	Drama	Nu
1986	99	Critical Condition	Comedy	Nu
1980	99	Ffolkes	Action	Nu
1991	99	What about Bob?	Comedy	Nu
1988	100	Storm	Action	Nu
1992	100	Eighty-Four Charing Cross Road	Drama	Nu
1987	100	Sammy & Rosie Get Laid	Drama	Nu
1967	100	A Coeur Joie, (Head Over Heels)	Action	Nu
1965	100	Dear Brigitte	Comedy	Nu
1962	100	Le Repos Du Guerrier, (Warrior's Rest)	War	Nu
1972	100	Pocket Money	Comedy	Nu
1958	100	Indiscreet	Drama	Nu
1948	100	Joan of Arc	Drama	Nu
1986	100	Morning After, The	Mystery	Nu
1929	100	Wild Orchids	Drama	Nu
1988	100	Clara's Heart	Drama	Nu
1985	100	Clan of the Cave Bear, The	Drama	Nu
1984	100	Swing Shift	Drama	Nu
1984	100	Protocol	Comedy	Nu
1986	100	Casino	Mystery	Nu
1986	100	American Anthem	Drama	Nu
1948	100	Port of Call	Drama	Nu
1990	100	Hard To Kill	Action	Nu
1961	100	Two Women	Drama	Da
1988	100	Ciao Italia, Madonna Live from Italy	Music	Nu
1989	100	Forgotten, The	Mystery	Nu
1980	100	Fiendish Plot of Dr. Fu Manchu, The	Comedy	Nu
1955	100	Mr. Arkadin	Drama	Nu
1955	100	Trouble with Harry, The	Mystery	Nu
1992	100	Class Act	Drama	Nu
1970	100	Adam at 6 A.M.	Drama	Nu
1949	100	Fighting Kentuckian, The	Action	Nu
1977	100	Julia	Drama	Da
1973	100	Mackintosh Man, The	Action	Nu
1972	100	Le Charme Discret de la Bourgeoisie	Comedy	Da
1987	100	Nuts	Drama	Nu
1937	100	Wee Willie Winkie	Drama	Nu
1959	100	Magician, The	Drama	Nu
1968	100	Scalphunters, The	Western	Nu
1987	100	Law of Desire	Drama	Nu
1962	100	Grim Reaper, The	Drama	Nu
1944	100	Fighting Seabees, The	War	Nu
1988	100	Rocket Gibraltar	Drama	Nu
1971	100	Willy Wonka & the Chocolate Factory	Music	Nu
1984	101	Target Eagle	Action	Nu
1988	101	Scrooged	Comedy	Nu
1987	101	Running Man, The	Science Fiction	Nu
1971	101	Goalie's Anxiety at the Penalty Kick, The	Drama	Nu
1992	101	Cool World	Drama	Nu
1982	101	Mother Lode	Action	Nu
1990	101	Act of Piracy	Mystery	Nu
1946	101	Notorious	Mystery	Nu
1973	101	White Lightning	Action	Nu
1958	101	Matchmaker, The	Comedy	Nu
1986	101	Instant Justice	Drama	Nu
1987	101	Like Father Like Son	Comedy	Nu
1956	101	Jubal	Drama	Nu
1989	101	Burbs, The	Comedy	Nu
1991	101	Adam's Rib	Comedy	Nu
1939	101	Stanley & Livingstone	Action	Nu
1987	101	My Life As a Dog	Comedy	Nu
1990	101	Funny about Love	Comedy	Nu
1982	101	Losin' It	Comedy	Nu
1960	101	Heller in Pink Tights	Drama	Nu
1990	101	Postcards from the Edge	Comedy	Nu
1992	101	White Sands	Drama	Nu
1983	101	Reuben, Reuben	Comedy	Nu
1969	101	Smith!	Western	Nu
1951	101	Strangers on a Train	Mystery	Nu
1988	101	Funny Farm	Comedy	Nu
1964	101	A Shot in the Dark	Comedy	Nu
1975	101	Driver's Seat, The	Drama	Nu
1988	101	Mystic Pizza	Comedy	Nu
1984	101	Crimes of Passion	Drama	Nu
1969	101	Passion of Anna, The	Drama	Nu
1966	101	Shoot Loud, Louder, I Don't Understand!	Mystery	Nu
1987	101	Black Widow	Mystery	Nu
1942	101	Flying Tigers	Action	Nu
1982	101	Secret Policeman's Other Ball, The	Comedy	Nu
1992	101	Romulus & the Sabines	Action	Nu
1991	101	I'm All Right Jack	Comedy	Nu
1991	101	Magic Christian, The	Comedy	Nu
1991	101	Keeper of the Flame	Drama	Nu
1971	102	A New Leaf	Comedy	Nu
1987	102	Babette's Feast	Drama	Da
1964	102	Contempt	Drama	Nu
1977	102	Mary White	Drama	Nu
1990	102	Nightbreed	Horror	Nu
1990	102	End of Innocence, The	Drama	Nu
1991	102	Hunchback	Drama	Nu
1959	102	Horse Soldiers, The	Western	Nu
1987	102	Burglar	Comedy	Nu
1992	102	Housesitter	Comedy	Nu
1980	102	Seems Like Old Times	Comedy	Nu
1973	102	Tom Sawyer	Music	Nu
1992	102	Addams Family, The	Comedy	Nu
1988	102	Night Train to Katmandu, THe	Action	Nu
1969	102	Rain People, The	Drama	Nu
1991	102	Curly Sue	Comedy	Nu
1987	102	Made in Heaven	Fantasy	Nu
1989	102	Dead-Bang	Action	Nu
1984	102	No Small Affair	Comedy	Nu
1990	102	Wait Until Spring Bandini	Drama	Nu
1984	102	Ratings Game, The	Comedy	Nu
1991	102	Comfort of Strangers, The	Mystery	Nu
1990	102	Joe Versus the Volcano	Comedy	Nu
1971	102	Dirty Harry	Drama	Nu
1966	102	Johnny Tiger	Drama	Nu
1984	102	Sword of the Valiant	Action	Nu
1971	102	Play Misty for Me	Mystery	Nu
1973	102	Cahill, United States Marshal	Western	Nu
1964	102	A Fistful of Dollars	Westerns	Nu
1968	102	Rachel, Rachel	Drama	Nu
1991	102	Freshman, The	Comedy	Nu
1951	102	Flying Leathernecks	Action	Nu
1983	102	Survivors, The	Comedy	Nu
1991	102	Instant Karma	Comedy	Nu
1993	102	Today We Kill....Tomorrow We Die	Western	Nu
1992	102	Left Handed Gun, The	Western	Nu
1966	103	A Man & a Woman	Drama	Da
1966	103	Un Hombre y una Mujer	Drama	Da
1954	103	Elephant Walk	Drama	Nu
1988	103	Appointment with Death	Mystery	Nu
1989	103	Miami Cops	Action	Nu
1989	103	Vampire's Kiss	Comedy	Nu
1945	103	Scarlet Street	Drama	Nu
1969	103	Cactus Flower	Comedy	Da
1968	103	Charly	Drama	Da
1988	103	Year My Voice Broke, The	Drama	Nu
1987	103	Moonstruck	Comedy	Da
1968	103	Coogan's Bluff	Action	Nu
1989	103	Pet Sematary	Horror	Nu
1948	103	Three Godfathers	Western	Nu
1980	103	I Love All of You (Je Vous Aime)	Drama	Nu
1988	103	Stand & Deliver	Drama	Nu
1966	103	After the Fox	Comedy	Nu
1967	103	Bobo, The	Comedy	Nu
1986	103	Hannah & Her Sisters	Comedy	Da
1990	103	Meridian	Science Fiction	Nu
1989	103	My Left Foot	Drama	Da
1974	103	Girl from Petrovka, The	Drama	Nu
1973	103	A Touch of Class	Comedy	Da
1973	103	Paper Moon	Comedy	Da
1988	103	Deceivers, The	Action	Nu
1955	103	To Catch a Thief	Mystery	Nu
1986	103	Fire with Fire	Drama	Nu
1975	103	Sunshine Boys, The	Comedy	Da
1960	103	Time Machine, The	Science Fiction	Nu
1987	103	Beverly Hills Cop II	Comedy	Nu
1987	103	Au Revoir les Enfants	Drama	Nu
1986	103	Ferris Bueller's Day Off	Comedy	Nu
1988	103	Cocktail	Drama	Nu
1978	103	California Suite	Comedy	Da
1993	103	Romantic Comedy	Comedy	Nu
1992	103	Death Becomes Her	Drama	Nu
1986	103	Peggy Sue Got Married	Drama	Nu
1947	103	Magic Town	Drama	Nu
1987	103	Heat	Mystery	Nu
1966	103	Quiller Memorandum, The	Mystery	Nu
1990	103	Altered States	Science Fiction	Nu
1989	103	Blood & Guns	Action	Nu
1983	104	Dead Zone, The	Horror	Nu
1985	104	Subway	Drama	Nu
1958	104	Barbarian & the Geisha, The	Action	Nu
1988	104	A New Life	Comedy	Nu
1985	104	Desperately Seeking Susan	Comedy	Nu
1987	104	Lionheart	Action	Nu
1938	104	A Woman's Face	Drama	Nu
1980	104	From the Life of the Marionettes	Drama	Nu
1977	104	Island of Dr. Moreau, The	Horror	Nu
1983	104	Beyond the Limit	Drama	Nu
1989	104	Rainbow, The	Drama	Nu
1990	104	Wait Until Spring, Bandini	Drama	Nu
1991	104	Hear My Song	Drama	Nu
1989	104	Tango & Cash	Action	Nu
1950	104	Harvey	Comedy	Nu
1989	104	Erik the Viking	Action	Nu
1981	104	Hand, The	Horror	Nu
1981	104	Scanners	Horror	Nu
1989	104	Married to the Mob	Comedy	Nu
1974	104	Zardoz	Science Fiction	Nu
1986	104	Best of Times, The	Comedy	Nu
1993	104	It Started with a Kiss	Drama	Nu
1992	104	Unnamable II, The Statement of Randolph Carter, The	Drama	Nu
1991	104	Doc Hollywood	Comedy	Nu
1966	104	A Fine Madness	Comedy	Nu
1971	104	French Connection, The	Drama	Da
1985	104	Santa Claus, The Movie	Comedy	Nu
1991	105	Predator 2	Action	Nu
1990	105	Guilty by Suspicion	Drama	Nu
1989	105	Hideaways	Comedy	Nu
1973	105	High Plains Drifter	Western	Nu
1985	105	Vagabond	Drama	Nu
1946	105	Tomorrow Is Forever	Drama	Nu
1984	105	Beverly Hills Cop	Comedy	Nu
1962	105	A Child Is Waiting	Drama	Nu
1986	105	King Kong Lives!	Action	Nu
1990	105	Dick Tracy	Comedy	Nu
1987	105	Prettykill	Drama	Nu
1986	105	Crimes of the Heart	Comedy	Nu
1986	105	Ratboy	Drama	Nu
1977	105	A Special Day	Drama	Da
1970	105	Two Mules for Sister Sara	Western	Nu
1989	105	Hawks	Drama	Nu
1940	105	Long Voyage Home, The	Drama	Nu
1950	105	Rio Grande	Western	Nu
1972	105	Hideaways, The	Comedy	Nu
1974	105	Steppenwolf	Drama	Nu
1968	105	Partner	Drama	Nu
1975	105	Rocky Horror Picture Show, The	Music	Nu
1977	105	Madame Rosa	Drama	Da
1983	105	Between Friends	Drama	Nu
1979	105	Meteor	Action	Nu
1991	105	Fire, Ice & Dynamite	Action	Nu
1964	105	Ensign Pulver	Comedy	Nu
1973	105	Deadly Trackers	Western	Nu
1992	105	Crimson Pirate, The	Action	Nu
1967	105	Chuka	Western	Nu
1978	106	Magic	Mystery	Nu
1981	106	Woman Next Door, The	Drama	Nu
1956	106	Anastasia	Drama	Da
1992	106	Medicine Man	Action	Nu
1984	106	Beat Street	Drama	Nu
1990	106	Alice	Comedy	Nu
1991	106	Not Without My Daughter	Drama	Nu
1986	106	Wildcats	Comedy	Nu
1976	106	Robin & Marian	Action	Nu
1980	106	Virus	Science Fiction	Nu
1984	106	A Year of the Quiet Sun	Drama	Nu
1988	106	She's Having a Baby	Comedy	Nu
1973	106	Dillinger	Drama	Nu
1990	106	In Too Deep	Drama	Nu
1990	106	Desperate Hours	Mystery	Nu
1984	106	Falling in Love	Drama	Nu
1985	106	Jewel of the Nile, The	Action	Nu
1984	106	Romancing the Stone	Action	Nu
1968	106	Bandolero!	Western	Nu
1987	106	Squeeze, The	Action	Nu
1965	106	A Patch of Blue	Drama	Nu
1956	106	D-Day, The Sixth of June	War	Nu
1946	106	Cloak & Dagger	Mystery	Nu
1986	107	Duet for One	Drama	Nu
1950	107	Stromboli	Drama	Nu
1952	107	Secrets of Women	Comedy	Nu
1990	107	Gremlins 2: The New Batch	Comedy	Nu
1977	107	March or Die	War	Nu
1987	107	Roxanne	Comedy	Nu
1975	107	Rooster Cogburn	Western	Nu
1990	107	Days of Thunder	Action	Nu
1954	107	Gold of Naples, The	Drama	Nu
1990	107	Green Card	Comedy	Nu
1982	107	Six Weeks	Drama	Nu
1989	107	Star Trek V: The Final Frontier	Action	Nu
1957	107	Wings of Eagles, The	Drama	Nu
1986	107	Sweet Liberty	Comedy	Nu
1988	107	Twins	Comedy	Nu
1970	107	Conformist, The	Drama	Nu
1967	107	Bedazzled	Comedy	Nu
1989	107	Major League	Comedy	Nu
1966	107	Wrong Box, The	Comedy	Nu
1986	107	Down by Law	Comedy	Nu
1983	107	Monty Python's the Meaning of Life	Comedy	Nu
1988	108	Miles from Home	Drama	Nu
1978	108	Big Fix, The	Mystery	Nu
1986	108	Nobody's Fool	Comedy	Nu
1986	108	No Mercy	Drama	Nu
1982	108	King of Comedy	Drama	Nu
1989	108	Shirley Valentine	Comedy	Nu
1988	108	A Fish Called Wanda	Comedy	Da
1986	108	Love Songs	Drama	Nu
1992	108	Husbands & Wives	Comedy	Nu
1939	108	Ninotchka	Comedy	Nu
1954	108	Long John Silver	Action	Nu
1984	108	Terminator, The	Action	Nu
1967	108	Guess Who's Coming to Dinner	Drama	Da
1991	108	Necessary Roughness	Comedy	Nu
1955	108	Smiles of a Summer Night	Comedy	Nu
1990	108	Flashback	Comedy	Nu
1991	108	Prisoner of Honor.	Drama	Nu
1985	108	Trip to Bountiful, The	Drama	Da
1971	108	Last Movie, The	Drama	Nu
1965	108	What's New Pussycat?	Comedy	Nu
1986	108	Heartburn	Comedy	Nu
1972	108	Hammersmith Is Out	Drama	Nu
1990	108	Bright Lights, Big City	Drama	Nu
1943	108	Shadow of a Doubt	Drama	Nu
1979	108	Prisoner of Zenda, The	Comedy	Nu
1993	108	Offence, The	Mystery	Nu
1991	108	Edison the Man	Drama	Nu
1963	109	Donovan's Reef	Comedy	Nu
1952	109	What Price Glory?	War	Nu
1975	109	Shampoo	Comedy	Da
1987	109	O. C. & Stiggs	Comedy	Nu
1926	109	Flesh & the Devil, The	Drama	Nu
1983	109	Star Chamber, The	Drama	Nu
1982	109	Best Friends	Comedy	Nu
1972	109	Butterflies Are Free	Drama	Da
1974	109	Sugarland Express, The	Drama	Nu
1961	109	Children's Hour, The	Drama	Nu
1981	109	On Golden Pond	Drama	Da
1976	109	I Will, I Will...For Now	Comedy	Nu
1987	109	Big Town, The	Drama	Nu
1978	109	Get Out Your Handkerchiefs	Comedy	Da
1960	109	Psycho	Horror	Nu
1977	109	Gauntlet, The	Action	Nu
1957	109	Legend of the Lost	Action	Nu
1988	109	Unsettled Land	Drama	Nu
1989	109	Winter People	Drama	Nu
1986	109	Top Gun	Action	Nu
1984	109	Racing with the Moon	Drama	Nu
1987	109	Wisdom	Action	Nu
1980	109	Wholly Moses!	Comedy	Nu
1990	109	Impulse	Mystery	Nu
1939	109	John Wayne Matinee Double Feature, No. 1	Western	Nu
1967	109	Reflections in a Golden Eye	Drama	Nu
1968	109	Secret Ceremony	Drama	Nu
1989	109	Lean on Me	Drama	Nu
1986	109	Young Sherlock Holmes	Mystery	Nu
1997	109	Alien: resurrection	Science Fiction	Nu
1955	109	I Died a Thousand Times	Drama	Nu
1989	109	Next of Kin	Mystery	Nu
1974	109	Juggernaut	Action	Nu
1971	109	Beguiled, The	Drama	Nu
1985	109	Les Comperes	Comedy	Nu
1988	110	Tucker: The Man & His Dream	Drama	Nu
1979	110	Quintet	Drama	Nu
1924	110	Siegfried, The Nibelungenlied	Drama	Nu
1952	110	Europa Fifty-One	Drama	Nu
1948	110	Border Street	Drama	Nu
1931	110	Big Trail, The	Western	Nu
1990	110	White Hunter, Black Heart	Adventure	Nu
1962	110	Sundays & Cybele	Drama	Da
1946	110	A Stolen Life	Drama	Nu
1979	110	Great Train Robbery, The	Mystery	Nu
1991	110	Hanover Street	Drama	Nu
1979	110	Norma Rae	Drama	Da
1936	110	Camille	Drama	Nu
1986	110	Highlander	Science Fiction	Nu
1980	110	Private Benjamin	Comedy	Nu
1946	110	Gilda	Drama	Nu
1980	110	Loulou	Drama	Nu
1990	110	Mystery Train	Comedy	Nu
1949	110	Sands of Iwo Jima	War	Nu
1977	110	Goodbye Girl, The	Comedy	Da
1990	110	Modern Love	Comedy	Nu
1988	110	Accused, The	Drama	Da
1989	110	We're No Angels	Comedy	Nu
1991	110	Star Trek VI: The Undiscovered Country	Science Fiction	Nu
1971	110	Big Jake	Action	Nu
1969	110	Butch Cassidy & the Sundance Kid	Western	Da
1989	110	Cousins	Comedy	Nu
1991	110	Freejack	Action	Nu
1984	110	Buddy System, The	Drama	Nu
1954	110	Desiree	Drama	Nu
1987	110	Secret of My Success, The	Comedy	Nu
1972	110	X, Y & Zee	Drama	Nu
1977	110	A Little Night Music	Music	Nu
1990	110	Border Shootout	Action	Nu
1969	110	One Hundred Rifles	Western	Nu
1970	110	Trash	Comedy	Nu
1950	110	Stage Fright	Mystery	Nu
1946	110	No Regrets for Our Youth	Drama	Nu
1957	110	Throne of Blood	Drama	Nu
1961	110	Yojimbo	Action	Nu
1939	110	John Wayne Matinee Double Feature, No. 3	Western	Nu
1938	110	John Wayne Matinee Double Feature, No. 4	Western	Nu
1990	111	Tie Me Up! Tie Me Down!	Comedy	Nu
1985	111	Power	Drama	Nu
1967	111	Hombre	Western	Nu
1990	111	Reversal of Fortune	Drama	Da
1975	111	Brannigan	Drama	Nu
1992	111	Pope of Greenwich Village	Drama	Nu
1978	111	Brass Target	Action	Nu
1988	111	House on Carroll Street, The	Mystery	Nu
1974	111	Mc Q	Action	Nu
1951	111	Operation Pacific	War	Nu
1971	111	Devils, The	Drama	Nu
1991	111	Flatliners	Drama	Nu
1986	111	Gung Ho	Comedy	Nu
1981	111	Outland	Science Fiction	Nu
1991	111	Seventh Cross, The	Drama	Nu
1980	111	Stir Crazy	Comedy	Nu
1955	111	Rebel Without a Cause	Drama	Nu
1982	111	Yol	Drama	Nu
1970	111	Chisum	Western	Nu
1982	111	Return of Martin Guerre, The	Drama	Nu
1986	112	A Man & a Woman: Twenty Years Later	Drama	Nu
1985	112	Official Story, The	Drama	Da
1964	112	Goldfinger	Action	Nu
1975	112	Alice Doesn't Live Here Anymore	Comedy	Da
1984	112	Places in the Heart	Drama	Da
1932	112	Grand Hotel	Drama	Da
1978	112	Foul Play	Comedy	Nu
1987	112	Overboard	Comedy	Nu
1991	112	Without Love	Comedy	Nu
1987	112	Tin Men	Comedy	Nu
1987	112	Gardens of Stone	Drama	Nu
1957	112	Jet Pilot	Action	Nu
1979	112	Blood Feud	Action	Nu
1985	112	Witness	Drama	Nu
1950	112	Asphalt Jungle, The	Action	Nu
1963	112	Hud	Drama	Da
1992	112	Macbeth	Drama	Nu
1986	112	From the Hip	Comedy	Nu
1991	112	Defending Your Life	Comedy	Nu
1973	112	American Graffiti	Comedy	Da
1983	112	Local Hero	Comedy	Nu
1952	112	Viva Zapata!	Drama	Da
1975	112	Yakuza, The	Action	Nu
1970	112	Burn!	Drama	Nu
1976	112	Maitresse	Drama	Nu
1979	112	Escape from Alcatraz	Drama	Nu
1992	112	Conversation Piece	Drama	Nu
1939	112	John Wayne Matinee Double Feature, No. 2	Western	Nu
1992	112	McQ	Action	Nu
1991	113	High Heels	Comedy	Nu
1968	113	Shalako	Westerns	Nu
1989	113	Twin Peaks	Mystery	Nu
1989	113	Family Business	Action	Nu
1977	113	Heroes	Drama	Nu
1979	113	Electric Horseman, The	Comedy	Nu
1991	113	Philadelphia Story, The	Comedy	Nu
1991	113	Woman of the Year	Comedy	Nu
1954	113	Rear Window	Mystery	Nu
1989	113	Lethal Weapon 2	Action	Nu
1991	113	Audrey Rose	Drama	Nu
1986	113	About Last Night	Drama	Nu
1990	113	Total Recall	Action	Nu
1963	113	Heavens Above	Comedy	Nu
1961	113	Ferry to Hong Kong	Drama	Nu
1944	114	Gaslight	Drama	Da
1978	114	Coma	Science Fiction	Nu
1989	114	School Daze	Comedy	Nu
1983	114	Le Choix des Armes	Mystery	Nu
1971	114	Klute	Drama	Da
1986	114	Hoosiers	Drama	Nu
1989	114	Once Around	Comedy	Nu
1978	114	Go Tell the Spartans	War	Nu
1987	114	Into the Homeland	Action	Nu
1958	114	Desire under the Elms	Drama	Nu
1969	114	Hamlet	Drama	Nu
1989	114	Fabulous Baker Boys, The	Drama	Nu
1967	114	Hang 'em High	Western	Nu
1991	114	After Dark My Sweet	Mystery	Nu
1974	114	Conversation, The	Drama	Da
1991	114	Thunderbolt & Lightfoot	Action	Nu
1985	114	To Live & Die in L. A.	Action	Nu
1991	115	Bataan	War	Nu
1991	115	Flight of the Intruder	Drama	Nu
1955	115	Blood Alley	War	Nu
1982	115	E. T. The Extra-Terrestrial	Science Fiction	Da
1949	115	Heiress, The	Drama	Da
1979	115	Hurricane	Action	Nu
1988	115	Working Girl	Comedy	Nu
1991	115	Deceived	Mystery	Nu
1991	115	Little Women	Drama	Nu
1990	115	Men Don't Leave	Drama	Nu
1982	115	Grease II	Music	Nu
1985	115	Into the Night	Comedy	Nu
1981	115	Endless Love	Drama	Nu
1987	115	Stakeout	Comedy	Nu
1992	115	Alien Three	Science Fiction	Nu
1971	115	Sometimes a Great Notion	Drama	Nu
1981	116	Raiders of the Lost Ark	Action	Nu
1991	116	Marrying Man, The	Comedy	Nu
1973	116	Day for Night	Drama	Da
1976	116	Burnt Offerings	Horror	Nu
1976	116	Network	Comedy	Da
1981	116	Absence of Malice	Drama	Nu
1982	116	Tootsie	Comedy	Da
1991	116	Boom Town	Drama	Nu
1953	116	Mogambo	Action	Nu
1988	116	Running on Empty	Drama	Nu
1989	116	In Country	Drama	Nu
1980	116	Bronco Billy	Westerns	Nu
1992	116	Operation Crossbow	Action	Nu
1955	116	Mister Roberts	Comedy	Da
1988	116	Tequila Sunrise	Mystery	Nu
1988	116	Coming to America	Comedy	Nu
1985	116	Pale Rider	Western	Nu
1985	116	Back to the Future	Comedy	Nu
1986	116	Legal Eagles	Comedy	Nu
1987	116	Orphans	Drama	Nu
1972	116	Jeremiah Johnson	Drama	Nu
1989	116	Back to the Future II	Comedy	Nu
1982	117	Tragedy of a Ridiculous Man	Drama	Nu
1992	117	Patriot Games	Action	Nu
1986	117	Nine & a Half Weeks	Drama	Nu
1949	117	Under Capricorn	Drama	Nu
1977	117	Exorcist II, The Heretic	Horror	Nu
1988	117	Dead Ringers	Drama	Nu
1975	117	Three Days of the Condor	Drama	Nu
1974	117	Stavisky	Drama	Nu
1981	117	Time Bandits	Comedy	Nu
1978	117	Bloodbrothers	Drama	Nu
1982	117	Blade Runner	Action	Nu
1991	117	Courtship of Eddie's Father, The	Comedy	Nu
1980	117	Formula, The	Mystery	Nu
1990	117	Internal Affairs	Drama	Nu
1974	117	Going Places	Drama	Nu
1991	117	La Femme Nikita	Drama	Nu
1985	117	Cocoon	Science Fiction	Da
1941	117	So Ends Our Night	Drama	Nu
1991	117	Last Time I Saw Paris, The	Drama	Nu
1955	117	Sea Chase, The	War	Nu
1979	117	Alien	Science Fiction	Nu
1989	117	Harry & Son	Drama	Nu
1981	117	Victory	Drama	Nu
1991	117	Full Metal Jacket	War	Nu
1970	117	Catch Twenty-Two	Comedy	Nu
1983	118	Man Who Loved Women, The	Comedy	Nu
1988	118	Big Blue, The	Drama	Nu
1989	118	Vincent, Francois, Paul & the Others	Drama	Nu
1987	118	Shy People	Drama	Nu
1987	118	Castaway	Drama	Nu
1947	118	Life with Father	Comedy	Nu
1989	118	Steel Magnolias	Drama	Nu
1991	118	Silence of the Lambs, The	Mystery	Da
1985	118	A Chorus Line, The Movie	Music	Nu
1963	118	Yesterday, Today & Tomorrow	Comedy	Da
1991	118	Test Pilot	Drama	Nu
1991	118	Madonna, Truth or Dare	Music	Nu
1987	118	Hope & Glory	War	Nu
1975	118	Passenger, The	Drama	Nu
1971	118	Last Picture Show, The	Drama	Da
1981	118	Taps	Drama	Nu
1989	118	Harlem Nights	Comedy	Nu
1992	118	Tightrope	Mystery	Nu
1985	119	Kiss of the Spider Woman	Drama	Da
1987	119	Fourth Protocol, The	Mystery	Nu
1987	119	Witches of Eastwick, The	Comedy	Nu
1988	119	Dangerous Liaisons	Drama	Nu
1991	119	Meeting Venus	Comedy	Nu
1989	119	See You in the Morning	Drama	Nu
1981	119	Whose Life Is It, Anyway?	Drama	Nu
1986	119	Color of Money, The	Drama	Da
1986	119	Children of a Lesser God	Drama	Da
1962	119	Rome Adventure	Drama	Nu
1991	119	New York Stories	Comedy	Nu
1990	119	Pretty Woman	Comedy	Nu
1973	119	Last of Sheila, The	Mystery	Nu
1956	119	Searchers, The	Western	Nu
1979	119	Frisco Kid, The	Comedy	Nu
1987	119	Untouchables, The	Drama	Da
1949	119	Battleground, The	War	Nu
1986	119	Mosquito Coast, The	Drama	Nu
1987	120	Fatal Attraction	Mystery	Nu
