An	Durata	Titlu	Categorie	Premii
1989	74	B. A. D. Cats	Action	Nu
1935	75	Count of Old Town, The	Comedy	Nu
1941	75	Walpurgis Night	Drama	Nu
1993	75	Employee's Entrance	Drama	Nu
1988	75	Let It Rock	Drama	Nu
1953	75	Goon Show Movie, The	Comedy	Nu
1977	75	Comedy Tonight	Comedy	Nu
1988	76	Daffy Duck's Quackbusters	Action	Nu
1930	76	Romance	Drama	Nu
1991	76	Slumber Party Massacre III	Horror	Nu
1993	76	Return Engagement	Drama	Nu
1966	76	Flight to Fury	Action	Nu
1958	77	That Naughty Girl	Comedy	Nu
1936	77	Sabotage	Mystery	Nu
1984	77	Secret Policeman's Private Parts, The	Comedy	Nu
1972	78	Say Goodbye Maggie Cole	Drama	Nu
1927	78	My Best Girl	Drama	Nu
1949	78	Devil's Wanton, The	Drama	Nu
1988	78	Hot Money	Drama	Nu
1992	79	Blame It on the Bellboy	Comedy	Nu
1953	79	Wild One, The	Drama	Nu
1953	79	Appointment in Honduras	Drama	Nu
1989	80	Skull	Drama	Nu
1934	80	Judge Priest	Drama	Nu
1969	80	Rebel Rousers	Action	Nu
1991	80	Going Under	Comedy	Nu
1963	80	Winter Light	Drama	Nu
1939	80	Allegheny Uprising	Drama	Nu
1937	80	Young & Innocent	Mystery	Nu
1991	80	Hollywood's Greatest War Movies	War	Nu
1954	81	Fear	Drama	Nu
1948	81	Rope	Drama	Nu
1940	81	Lady in Question	Drama	Nu
1989	81	Deep Cover	Mystery	Nu
1967	81	Glory Stompers, The	Action	Nu
1988	81	Another Woman	Drama	Nu
1988	81	Smallest Show on Earth, The	Comedy	Nu
1966	81	Persona	Drama	Da
1963	81	Terror, The	Horror	Nu
1982	81	Monty Python Live at the Hollywood Bowl	Comedy	Nu
1957	82	Brink of Life	Drama	Nu
1983	82	Final Terror, The	Horror	Nu
1975	82	Love & Death	Comedy	Nu
1986	82	Whoopee Boys, The	Comedy	Nu
1974	82	Catamount Killing, The	Action	Nu
1966	82	Ride in the Whirlwind	Western	Nu
1985	82	Angelic Conversation, The	Comedy	Nu
1945	82	Dakota	Western	Nu
1943	82	Sanshiro Sugata	Drama	Nu
1988	83	Nadine	Comedy	Nu
1953	83	Voyage in Italy	Drama	Nu
1940	83	Seven Sinners	Drama	Nu
1989	83	Stripped to Kill II, Live Girls	Mystery	Nu
1989	83	Masque of the Red Death	Horror	Nu
1991	83	Strictly Business	Comedy	Nu
1988	83	Hot to Trot	Comedy	Nu
1987	83	Surf Nazis Must Die	Horror	Nu
1988	83	Control	Drama	Nu
1990	83	U S. Sub Standard.	Comedy	Nu
1986	83	Blue City	Action	Nu
1992	83	Apache Woman	Western	Nu
1956	83	Killing, The	Drama	Nu
1958	83	Up the Creek	Comedy	Nu
1951	83	Rashomon	Drama	Da
1984	83	Manhunt, The	Action	Nu
1992	83	Devil's Disciple, The	Mystery	Nu
1929	84	Blackmail	Mystery	Nu
1936	84	Secret Agent	Mystery	Nu
1985	84	Purple Rose of Cairo, The	Comedy	Da
1931	84	Susan Lennox, Her Fall & Rise	Drama	Nu
1949	84	Three Strange Loves	Drama	Nu
1986	84	Stewardess School	Comedy	Nu
1971	84	Statue, The	Drama	Nu
1992	84	Dragonfight	Drama	Nu
1989	84	Police Academy 6: City under Siege	Comedy	Nu
1986	84	Police Academy 3: Back in Training	Comedy	Nu
1989	84	Dear America, Letters Home from Vietnam	War	Nu
1988	84	Night Tide	Drama	Nu
1991	84	Two-Way Stretch	Comedy	Nu
1942	85	Wheel of Fortune	Drama	Nu
1992	85	Double Edge	Drama	Nu
1984	85	Broadway Danny Rose	Comedy	Nu
1992	85	Naked Obsession	Mystery	Nu
1934	85	Painted Veil, The	Drama	Nu
1987	85	Hot Child in the City	Mystery	Nu
1979	85	Cocaine Cowboys	Action	Nu
1939	85	Back Door to Heaven	Drama	Nu
1988	85	Casablanca Express	Action	Nu
1941	85	Lady from Louisiana	Drama	Nu
1991	85	Circuitry Man	Action	Nu
1967	85	Trip, The	Drama	Nu
1988	85	Doin' Time on Planet Earth	Comedy	Da
1990	85	Crash & Burn	Science Fiction	Nu
1950	85	Men, The	Drama	Nu
1986	85	Torment	Horror	Nu
1992	85	Survival Zone	Action	Nu
1987	85	Operation Nam	War	Nu
1967	85	Thirty Is a Dangerous Age, Cynthia	Comedy	Nu
1975	85	Only Way Home, The	Drama	Nu
1955	86	Dreams	Drama	Nu
1969	86	Women, The	Drama	Nu
1992	86	Hurricane Smith	Action	Nu
1987	86	Fair Game	Action	Nu
1950	86	Wagon Master	Western	Nu
1991	86	Blind Man's Bluff	Mystery	Nu
1989	86	Let It Ride	Comedy	Nu
1987	86	Straight to Hell	Action	Nu
1972	86	Play It Again, Sam	Comedy	Nu
1989	86	Dracula's Widow	Horror	Nu
1981	86	Polyester	Comedy	Nu
1980	86	Pepi Luci Bom	Comedy	Nu
1987	86	House of the Rising Sun	Drama	Nu
1963	86	Raven, The	Horror	Nu
1990	86	Wagonmaster	Western	Nu
1989	86	Cyborg	Action	Nu
1983	86	Scream	Horror	Nu
1987	86	Disorderlies	Comedy	Nu
1973	87	Ms. Don Juan	Drama	Nu
1939	87	Only One Night	Drama	Nu
1986	87	Monster in the Closet	Comedy	Nu
1973	87	Stacey!	Action	Nu
1989	87	Videodrome	Horror	Nu
1948	87	Lady from Shanghai	Mystery	Nu
1988	87	Souvenir	Drama	Nu
1991	87	Scenes from a Mall	Comedy	Nu
1986	87	Cobra	Action	Nu
1987	87	Mistress	Drama	Nu
1991	87	To Die Standing	Action	Nu
1990	87	All New Tales from the Crypt, A Trilogy	Horror	Nu
1972	87	Hannie Caulder	Drama	Nu
1947	87	Night Is My Future	Drama	Nu
1936	87	Modern Times	Comedy	Nu
1931	87	A Nous la Liberte	Drama	Nu
1975	87	They Came from Within	Horror	Nu
1991	87	Killer Tomatoes Strike Back	Comedy	Nu
1979	87	Attack of the Killer Tomatoes	Comedy	Nu
1955	87	Ladykillers, The	Comedy	Nu
1991	87	Father's Little Dividend	Comedy	Nu
1992	87	Law & Jake Wade, The	Drama	Nu
1989	88	Final Notice	Mystery	Nu
1942	88	Lady for a Night	Drama	Nu
1986	88	Running Out of Luck	Comedy	Nu
1986	88	Seven Minutes in Heaven	Comedy	Nu
1988	88	Blue Iguana, The	Drama	Nu
1992	88	Adventures in Dinosaur City	Action	Nu
1973	88	Sleeper	Comedy	Nu
1987	88	Arrogant, The	Drama	Nu
1959	88	Carlton-Browne of the F.O.	Comedy	Nu
1989	88	Women on the Verge of a Nervous Breakdown	Comedy	Nu
1992	88	Back in the U.S.S.R.	Action	Nu
1978	88	Silent Movie	Comedy	Nu
1991	88	Born to Ride	Action	Nu
1989	88	Money, The	Drama	Nu
1990	88	Kissing Place, The	Drama	Nu
1985	88	Roller Blade	Action	Nu
1979	88	Treasure Seekers, The	Action	Nu
1989	88	Center of the Web	Mystery	Nu
1968	88	Hour of the Wolf	Drama	Nu
1990	88	Amazon	Action	Nu
1959	88	Virgin Spring, The	Drama	Da
1981	88	Going Ape	Comedy	Nu
1987	88	Hell Comes to Frogtown	Science Fiction	Nu
1935	88	Thirty-Nine Steps, The	Science Fiction	Nu
1971	88	And Now for Something Completely Different	Comedy	Nu
1948	88	Criss Cross	Drama	Nu
1971	88	Joe Kidd	Western	Nu
1993	88	Great White Death	Action	Nu
1991	89	Bloodbath	Horror	Nu
1974	89	Monty Python & the Holy Grail	Comedy	Nu
1990	89	Quick Change	Comedy	Nu
1975	89	Terrorists, The	Action	Nu
1989	89	Fire & Rain	Action	Nu
1990	89	Bloodsucking Pharaohs in Pittsburgh	Comedy	Nu
1979	89	Buffet Froid	Comedy	Nu
1989	89	After School	Drama	Nu
1936	89	Libeled Lady	Comedy	Nu
1991	89	If Looks Could Kill	Action	Nu
1987	89	Business As Usual	Comedy	Nu
1988	89	Salome's Last Dance	Comedy	Nu
1977	89	World's Greatest Lover, The	Comedy	Nu
1986	89	True Stories	Comedy	Nu
1992	89	Flame & the Arrow, The	Action	Nu
1957	89	Paths of Glory	Drama	Nu
1989	89	Nightmare on Elm Street, Pt. 5, The Dream Child	Horror	Nu
